order_ref,order_date,customer_id,origin_name,origin_city,origin_country,dest_city,dest_country,units,weight_kg,mode,product_category,order_value,returned
SO-00661,2025-11-02,C-MUM-005,Shenzhen DC,Shenzhen,CN,Mumbai,IN,11,33.44,sea,wearables,536.23,1
SO-00887,2025-11-03,C-LOS-011,Memphis DC,Memphis,US,Los Angeles,US,2,8.19,road,chargers,935.24,0
SO-00256,2025-11-04,C-MIL-025,Rotterdam DC,Rotterdam,NL,Milan,IT,16,28.28,road,audio,678.82,0
SO-00516,2025-11-04,C-SIN-017,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,13.64,sea,audio,467.06,0
SO-00855,2025-11-04,C-CHI-019,Memphis DC,Memphis,US,Chicago,US,5,14.97,road,chargers,446.92,0
SO-01065,2025-11-04,C-BOG-021,Memphis DC,Memphis,US,Bogota,CO,12,35.26,air,wearables,323.1,0
SO-01227,2025-11-04,C-LAG-039,Dubai DC,Dubai,AE,Lagos,NG,9,20.63,air,storage,603.59,0
SO-00393,2025-11-05,C-TOK-001,Shenzhen DC,Shenzhen,CN,Tokyo,JP,4,8.01,sea,chargers,1330.92,0
SO-01283,2025-11-05,C-KAR-013,Dubai DC,Dubai,AE,Karachi,PK,5,10.78,sea,audio,480.03,0
SO-00861,2025-11-06,C-CHI-008,Memphis DC,Memphis,US,Chicago,US,3,12.09,road,storage,594.76,0
SO-01083,2025-11-06,C-SAN-008,Memphis DC,Memphis,US,Santiago,CL,10,20.87,sea,wearables,1078.08,0
SO-00476,2025-11-07,C-SIN-016,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,8.43,sea,cables,407.94,0
SO-00629,2025-11-07,C-MUM-033,Shenzhen DC,Shenzhen,CN,Mumbai,IN,19,38.19,sea,chargers,504.2,0
SO-00654,2025-11-07,C-MUM-036,Shenzhen DC,Shenzhen,CN,Mumbai,IN,25,40.46,sea,cables,461.03,0
SO-00257,2025-11-08,C-MIL-027,Rotterdam DC,Rotterdam,NL,Milan,IT,5,13.34,road,storage,630.53,0
SO-01173,2025-11-08,C-CAI-002,Dubai DC,Dubai,AE,Cairo,EG,5,16.51,sea,storage,591.41,0
SO-01258,2025-11-08,C-JOH-010,Dubai DC,Dubai,AE,Johannesburg,ZA,4,15.71,sea,wearables,567.66,0
SO-00700,2025-11-09,C-AUC-022,Rotterdam DC,Rotterdam,NL,Auckland,NZ,3,13.0,air,storage,673.29,0
SO-00808,2025-11-09,C-CHI-002,Memphis DC,Memphis,US,Chicago,US,5,13.88,road,cases,907.36,0
SO-00971,2025-11-09,C-TOR-026,Memphis DC,Memphis,US,Toronto,CA,7,24.95,road,wearables,702.74,0
SO-00165,2025-11-10,C-PAR-006,Rotterdam DC,Rotterdam,NL,Paris,FR,5,20.63,road,cases,648.68,0
SO-00364,2025-11-10,C-DUB-006,Rotterdam DC,Rotterdam,NL,Dublin,IE,5,9.97,air,cables,391.57,0
SO-00429,2025-11-10,C-SEO-033,Shenzhen DC,Shenzhen,CN,Seoul,KR,16,28.86,sea,wearables,786.18,0
SO-00763,2025-11-10,C-NEW-033,Memphis DC,Memphis,US,New York City,US,6,19.57,road,cables,823.81,0
SO-00931,2025-11-10,C-LOS-003,Memphis DC,Memphis,US,Los Angeles,US,11,20.35,road,chargers,506.37,0
SO-01157,2025-11-10,C-RIY-022,Dubai DC,Dubai,AE,Riyadh,SA,4,13.49,road,cables,1177.26,0
SO-00252,2025-11-11,C-MIL-033,Rotterdam DC,Rotterdam,NL,Milan,IT,6,23.04,road,cases,427.61,0
SO-00626,2025-11-11,C-MUM-020,Shenzhen DC,Shenzhen,CN,Mumbai,IN,7,24.98,sea,storage,640.2,0
SO-00778,2025-11-11,C-NEW-018,Memphis DC,Memphis,US,New York City,US,2,5.31,road,cables,507.46,0
SO-00840,2025-11-11,C-CHI-001,Memphis DC,Memphis,US,Chicago,US,6,21.71,road,wearables,566.75,0
SO-01079,2025-11-11,C-BOG-038,Memphis DC,Memphis,US,Bogota,CO,6,22.02,air,cases,478.09,0
SO-01122,2025-11-11,C-BUE-026,Memphis DC,Memphis,US,Buenos Aires,AR,20,31.9,sea,cases,496.23,0
SO-00653,2025-11-12,C-MUM-025,Shenzhen DC,Shenzhen,CN,Mumbai,IN,7,26.5,sea,wearables,561.94,0
SO-00712,2025-11-12,C-AUC-032,Rotterdam DC,Rotterdam,NL,Auckland,NZ,4,14.85,air,wearables,1008.11,0
SO-01199,2025-11-12,C-CAI-010,Dubai DC,Dubai,AE,Cairo,EG,9,33.87,sea,audio,590.69,0
SO-00063,2025-11-13,C-LON-005,Rotterdam DC,Rotterdam,NL,London,GB,6,12.02,road,cases,683.29,0
SO-00105,2025-11-13,C-BER-038,Rotterdam DC,Rotterdam,NL,Berlin,DE,7,12.19,road,storage,535.36,0
SO-00217,2025-11-13,C-MAD-020,Rotterdam DC,Rotterdam,NL,Madrid,ES,1,4.34,road,wearables,476.28,0
SO-00756,2025-11-13,C-NEW-039,Memphis DC,Memphis,US,New York City,US,5,13.27,road,cables,863.26,0
SO-00913,2025-11-13,C-LOS-009,Memphis DC,Memphis,US,Los Angeles,US,12,22.34,road,storage,828.63,0
SO-01102,2025-11-13,C-BUE-024,Memphis DC,Memphis,US,Buenos Aires,AR,14,26.58,sea,cables,623.03,0
SO-01298,2025-11-13,C-KAR-014,Dubai DC,Dubai,AE,Karachi,PK,7,24.71,sea,storage,572.05,0
SO-00432,2025-11-14,C-SEO-032,Shenzhen DC,Shenzhen,CN,Seoul,KR,4,13.83,sea,cases,978.59,0
SO-00522,2025-11-14,C-SIN-002,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,16.05,sea,storage,1206.2,1
SO-00525,2025-11-14,C-BAN-039,Shenzhen DC,Shenzhen,CN,Bangkok,TH,12,19.99,sea,cables,742.88,0
SO-00793,2025-11-14,C-NEW-005,Memphis DC,Memphis,US,New York City,US,5,12.84,road,chargers,840.07,0
SO-00975,2025-11-14,C-TOR-023,Memphis DC,Memphis,US,Toronto,CA,9,13.37,road,audio,1105.89,0
SO-00129,2025-11-15,C-BER-006,Rotterdam DC,Rotterdam,NL,Berlin,DE,10,37.43,road,cases,841.47,0
SO-00380,2025-11-15,C-TOK-007,Shenzhen DC,Shenzhen,CN,Tokyo,JP,3,8.61,sea,chargers,621.48,0
SO-00640,2025-11-15,C-MUM-029,Shenzhen DC,Shenzhen,CN,Mumbai,IN,5,16.75,sea,cases,932.08,0
SO-00693,2025-11-15,C-SYD-010,Rotterdam DC,Rotterdam,NL,Sydney,AU,12,21.26,air,cables,395.9,0
SO-00406,2025-11-16,C-TOK-003,Shenzhen DC,Shenzhen,CN,Tokyo,JP,5,13.01,sea,cases,622.7,1
SO-00613,2025-11-16,C-MAN-023,Shenzhen DC,Shenzhen,CN,Manila,PH,4,14.45,sea,wearables,320.46,1
SO-00480,2025-11-17,C-SIN-002,Shenzhen DC,Shenzhen,CN,Singapore,SG,4,11.36,sea,wearables,518.87,0
SO-01011,2025-11-17,C-MEX-014,Memphis DC,Memphis,US,Mexico City,MX,7,29.39,road,wearables,589.17,0
SO-00111,2025-11-18,C-BER-004,Rotterdam DC,Rotterdam,NL,Berlin,DE,4,14.69,road,chargers,956.95,0
SO-00512,2025-11-18,C-SIN-033,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,19.81,sea,audio,478.9,0
SO-00735,2025-11-18,C-NEW-023,Memphis DC,Memphis,US,New York City,US,9,25.07,road,storage,863.42,0
SO-00921,2025-11-18,C-LOS-034,Memphis DC,Memphis,US,Los Angeles,US,6,15.28,road,cables,628.94,0
SO-01109,2025-11-19,C-BUE-037,Memphis DC,Memphis,US,Buenos Aires,AR,20,34.52,sea,storage,452.29,0
SO-01204,2025-11-19,C-NAI-025,Dubai DC,Dubai,AE,Nairobi,KE,5,9.93,air,wearables,426.46,0
SO-01276,2025-11-19,C-JOH-032,Dubai DC,Dubai,AE,Johannesburg,ZA,24,33.67,sea,chargers,509.64,0
SO-00856,2025-11-20,C-CHI-022,Memphis DC,Memphis,US,Chicago,US,9,24.76,road,cables,971.67,0
SO-00994,2025-11-20,C-MEX-014,Memphis DC,Memphis,US,Mexico City,MX,9,19.56,road,cables,689.66,0
SO-00098,2025-11-21,C-BER-021,Rotterdam DC,Rotterdam,NL,Berlin,DE,8,26.78,road,chargers,939.59,0
SO-00101,2025-11-21,C-BER-003,Rotterdam DC,Rotterdam,NL,Berlin,DE,8,25.14,road,audio,790.65,0
SO-00143,2025-11-21,C-PAR-010,Rotterdam DC,Rotterdam,NL,Paris,FR,9,24.79,road,audio,770.53,0
SO-01092,2025-11-21,C-SAN-023,Memphis DC,Memphis,US,Santiago,CL,13,28.12,sea,storage,357.53,0
SO-00463,2025-11-22,C-SEO-038,Shenzhen DC,Shenzhen,CN,Seoul,KR,3,9.12,sea,chargers,684.84,0
SO-00469,2025-11-22,C-SEO-007,Shenzhen DC,Shenzhen,CN,Seoul,KR,6,12.61,sea,cases,634.47,0
SO-00633,2025-11-22,C-MUM-029,Shenzhen DC,Shenzhen,CN,Mumbai,IN,6,22.91,sea,cases,659.59,0
SO-00377,2025-11-23,C-TOK-030,Shenzhen DC,Shenzhen,CN,Tokyo,JP,3,10.87,sea,cables,842.05,0
SO-00531,2025-11-23,C-BAN-035,Shenzhen DC,Shenzhen,CN,Bangkok,TH,7,22.94,sea,wearables,544.1,0
SO-00666,2025-11-23,C-SYD-037,Rotterdam DC,Rotterdam,NL,Sydney,AU,7,23.6,air,wearables,973.49,0
SO-00946,2025-11-23,C-TOR-026,Memphis DC,Memphis,US,Toronto,CA,7,21.16,road,audio,985.48,0
SO-00991,2025-11-23,C-MEX-033,Memphis DC,Memphis,US,Mexico City,MX,4,15.75,road,chargers,647.14,0
SO-00149,2025-11-24,C-PAR-030,Rotterdam DC,Rotterdam,NL,Paris,FR,11,18.81,road,cases,664.96,0
SO-00271,2025-11-24,C-MIL-013,Rotterdam DC,Rotterdam,NL,Milan,IT,14,24.93,road,storage,867.65,0
SO-00519,2025-11-24,C-SIN-001,Shenzhen DC,Shenzhen,CN,Singapore,SG,9,21.62,sea,audio,746.23,0
SO-00552,2025-11-24,C-BAN-037,Shenzhen DC,Shenzhen,CN,Bangkok,TH,14,24.63,sea,cables,977.0,0
SO-00623,2025-11-24,C-MUM-034,Shenzhen DC,Shenzhen,CN,Mumbai,IN,11,26.87,sea,chargers,561.98,1
SO-00658,2025-11-24,C-MUM-037,Shenzhen DC,Shenzhen,CN,Mumbai,IN,14,28.85,sea,wearables,835.75,0
SO-00750,2025-11-24,C-NEW-020,Memphis DC,Memphis,US,New York City,US,10,24.35,road,cases,704.55,0
SO-00956,2025-11-24,C-TOR-006,Memphis DC,Memphis,US,Toronto,CA,15,22.4,road,cases,343.26,0
SO-01067,2025-11-24,C-BOG-021,Memphis DC,Memphis,US,Bogota,CO,6,21.91,air,wearables,671.13,1
SO-00131,2025-11-25,C-BER-037,Rotterdam DC,Rotterdam,NL,Berlin,DE,13,21.77,road,cases,1042.74,1
SO-01238,2025-11-26,C-LAG-007,Dubai DC,Dubai,AE,Lagos,NG,7,21.36,air,storage,304.75,0
SO-00962,2025-11-27,C-TOR-017,Memphis DC,Memphis,US,Toronto,CA,8,17.3,road,chargers,951.51,0
SO-00285,2025-11-28,C-MIL-038,Rotterdam DC,Rotterdam,NL,Milan,IT,5,16.09,road,storage,880.91,0
SO-00422,2025-11-28,C-TOK-011,Shenzhen DC,Shenzhen,CN,Tokyo,JP,8,19.52,sea,cables,903.92,0
SO-00586,2025-11-28,C-JAK-006,Shenzhen DC,Shenzhen,CN,Jakarta,ID,11,23.5,sea,cables,494.56,0
SO-01118,2025-11-28,C-BUE-031,Memphis DC,Memphis,US,Buenos Aires,AR,13,28.47,sea,wearables,559.54,0
SO-00624,2025-11-29,C-MUM-024,Shenzhen DC,Shenzhen,CN,Mumbai,IN,14,28.85,sea,audio,590.3,0
SO-00957,2025-11-29,C-TOR-038,Memphis DC,Memphis,US,Toronto,CA,14,22.04,road,chargers,429.56,0
SO-01051,2025-11-29,C-SAO-014,Memphis DC,Memphis,US,Sao Paulo,BR,4,14.72,sea,cases,478.22,0
SO-00184,2025-11-30,C-PAR-012,Rotterdam DC,Rotterdam,NL,Paris,FR,6,23.37,road,wearables,422.34,0
SO-00865,2025-11-30,C-CHI-020,Memphis DC,Memphis,US,Chicago,US,12,25.69,road,wearables,681.41,0
SO-01129,2025-11-30,C-RIY-024,Dubai DC,Dubai,AE,Riyadh,SA,7,26.79,road,cables,565.47,0
SO-00040,2025-12-01,C-LON-016,Rotterdam DC,Rotterdam,NL,London,GB,4,8.78,road,wearables,723.28,0
SO-00596,2025-12-01,C-MAN-030,Shenzhen DC,Shenzhen,CN,Manila,PH,5,16.38,sea,cases,391.77,0
SO-00933,2025-12-01,C-LOS-039,Memphis DC,Memphis,US,Los Angeles,US,6,12.96,road,cables,958.08,0
SO-00093,2025-12-02,C-BER-003,Rotterdam DC,Rotterdam,NL,Berlin,DE,10,25.3,road,cases,643.94,0
SO-00879,2025-12-02,C-LOS-009,Memphis DC,Memphis,US,Los Angeles,US,8,23.76,road,cables,555.97,0
SO-00911,2025-12-02,C-LOS-024,Memphis DC,Memphis,US,Los Angeles,US,5,15.52,road,audio,796.21,0
SO-00988,2025-12-02,C-MEX-001,Memphis DC,Memphis,US,Mexico City,MX,9,17.16,road,audio,431.7,0
SO-00322,2025-12-03,C-STO-014,Rotterdam DC,Rotterdam,NL,Stockholm,SE,10,23.68,road,chargers,665.44,0
SO-00573,2025-12-03,C-JAK-027,Shenzhen DC,Shenzhen,CN,Jakarta,ID,4,7.75,sea,cables,594.45,0
SO-00740,2025-12-03,C-NEW-012,Memphis DC,Memphis,US,New York City,US,12,24.1,road,cables,765.11,0
SO-01119,2025-12-03,C-BUE-039,Memphis DC,Memphis,US,Buenos Aires,AR,11,35.4,sea,cables,837.9,0
SO-00352,2025-12-04,C-DUB-005,Rotterdam DC,Rotterdam,NL,Dublin,IE,4,13.45,air,cases,340.28,0
SO-00504,2025-12-04,C-SIN-021,Shenzhen DC,Shenzhen,CN,Singapore,SG,7,22.25,sea,chargers,1296.68,0
SO-00320,2025-12-05,C-STO-024,Rotterdam DC,Rotterdam,NL,Stockholm,SE,13,24.99,road,storage,489.21,0
SO-00013,2025-12-06,C-LON-020,Rotterdam DC,Rotterdam,NL,London,GB,6,23.67,road,storage,458.54,0
SO-00895,2025-12-06,C-LOS-001,Memphis DC,Memphis,US,Los Angeles,US,5,9.42,road,cables,844.63,0
SO-01009,2025-12-06,C-MEX-019,Memphis DC,Memphis,US,Mexico City,MX,11,19.81,road,cables,651.41,0
SO-00644,2025-12-07,C-MUM-002,Shenzhen DC,Shenzhen,CN,Mumbai,IN,7,24.41,sea,audio,621.06,0
SO-01206,2025-12-07,C-NAI-006,Dubai DC,Dubai,AE,Nairobi,KE,7,17.7,air,audio,761.46,0
SO-00109,2025-12-08,C-BER-010,Rotterdam DC,Rotterdam,NL,Berlin,DE,9,23.11,road,cables,798.02,0
SO-00268,2025-12-08,C-MIL-037,Rotterdam DC,Rotterdam,NL,Milan,IT,5,18.91,road,chargers,765.43,0
SO-00651,2025-12-08,C-MUM-021,Shenzhen DC,Shenzhen,CN,Mumbai,IN,6,21.07,sea,cables,816.27,0
SO-00656,2025-12-08,C-MUM-023,Shenzhen DC,Shenzhen,CN,Mumbai,IN,18,25.27,sea,storage,395.01,0
SO-00602,2025-12-09,C-MAN-002,Shenzhen DC,Shenzhen,CN,Manila,PH,6,24.16,sea,audio,744.18,0
SO-00621,2025-12-09,C-MUM-017,Shenzhen DC,Shenzhen,CN,Mumbai,IN,9,25.35,sea,cables,839.68,0
SO-00646,2025-12-09,C-MUM-023,Shenzhen DC,Shenzhen,CN,Mumbai,IN,12,18.4,sea,audio,641.49,0
SO-01169,2025-12-09,C-CAI-031,Dubai DC,Dubai,AE,Cairo,EG,6,16.43,sea,storage,744.27,0
SO-00830,2025-12-10,C-CHI-001,Memphis DC,Memphis,US,Chicago,US,6,20.24,road,wearables,428.81,0
SO-00835,2025-12-10,C-CHI-007,Memphis DC,Memphis,US,Chicago,US,10,34.66,road,audio,960.38,0
SO-00890,2025-12-10,C-LOS-009,Memphis DC,Memphis,US,Los Angeles,US,13,20.36,road,cables,867.25,0
SO-01054,2025-12-10,C-SAO-007,Memphis DC,Memphis,US,Sao Paulo,BR,9,30.06,sea,wearables,704.63,0
SO-01265,2025-12-10,C-JOH-032,Dubai DC,Dubai,AE,Johannesburg,ZA,8,25.87,sea,wearables,584.08,0
SO-00418,2025-12-11,C-TOK-012,Shenzhen DC,Shenzhen,CN,Tokyo,JP,9,19.86,sea,cables,742.23,0
SO-01287,2025-12-11,C-KAR-039,Dubai DC,Dubai,AE,Karachi,PK,3,5.52,sea,wearables,217.86,0
SO-00619,2025-12-12,C-MAN-028,Shenzhen DC,Shenzhen,CN,Manila,PH,4,13.08,sea,cases,966.86,0
SO-00638,2025-12-12,C-MUM-028,Shenzhen DC,Shenzhen,CN,Mumbai,IN,6,21.16,sea,chargers,703.31,0
SO-00684,2025-12-12,C-SYD-033,Rotterdam DC,Rotterdam,NL,Sydney,AU,5,14.54,air,storage,801.82,0
SO-00694,2025-12-12,C-SYD-035,Rotterdam DC,Rotterdam,NL,Sydney,AU,7,12.09,air,chargers,923.73,0
SO-00097,2025-12-13,C-BER-001,Rotterdam DC,Rotterdam,NL,Berlin,DE,15,24.41,road,chargers,791.85,1
SO-00161,2025-12-13,C-PAR-018,Rotterdam DC,Rotterdam,NL,Paris,FR,6,13.02,road,cables,813.63,0
SO-00182,2025-12-13,C-PAR-022,Rotterdam DC,Rotterdam,NL,Paris,FR,1,2.72,road,chargers,382.59,0
SO-00484,2025-12-13,C-SIN-022,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,13.81,sea,chargers,638.61,0
SO-00639,2025-12-13,C-MUM-019,Shenzhen DC,Shenzhen,CN,Mumbai,IN,6,11.85,sea,cables,555.41,0
SO-00877,2025-12-13,C-LOS-022,Memphis DC,Memphis,US,Los Angeles,US,12,19.92,road,audio,573.27,0
SO-01085,2025-12-13,C-SAN-017,Memphis DC,Memphis,US,Santiago,CL,14,27.75,sea,wearables,493.86,1
SO-00007,2025-12-14,C-LON-033,Rotterdam DC,Rotterdam,NL,London,GB,6,15.64,road,audio,594.28,1
SO-00047,2025-12-14,C-LON-010,Rotterdam DC,Rotterdam,NL,London,GB,6,25.0,road,cables,626.38,1
SO-00546,2025-12-14,C-BAN-019,Shenzhen DC,Shenzhen,CN,Bangkok,TH,1,3.26,sea,wearables,807.35,0
SO-00959,2025-12-14,C-TOR-009,Memphis DC,Memphis,US,Toronto,CA,12,27.73,road,wearables,541.36,0
SO-00460,2025-12-15,C-SEO-003,Shenzhen DC,Shenzhen,CN,Seoul,KR,7,22.69,sea,wearables,448.29,0
SO-00753,2025-12-15,C-NEW-033,Memphis DC,Memphis,US,New York City,US,7,18.47,road,cases,548.37,0
SO-00767,2025-12-15,C-NEW-003,Memphis DC,Memphis,US,New York City,US,5,19.13,road,cases,528.39,0
SO-00002,2025-12-16,C-LON-009,Rotterdam DC,Rotterdam,NL,London,GB,8,17.54,road,audio,502.57,0
SO-00280,2025-12-16,C-MIL-010,Rotterdam DC,Rotterdam,NL,Milan,IT,6,18.86,road,storage,836.53,0
SO-00347,2025-12-16,C-DUB-025,Rotterdam DC,Rotterdam,NL,Dublin,IE,2,6.44,air,cases,435.47,0
SO-01126,2025-12-16,C-BUE-023,Memphis DC,Memphis,US,Buenos Aires,AR,5,18.77,sea,cables,753.56,1
SO-00357,2025-12-17,C-DUB-009,Rotterdam DC,Rotterdam,NL,Dublin,IE,3,11.71,air,audio,434.27,0
SO-00860,2025-12-17,C-CHI-015,Memphis DC,Memphis,US,Chicago,US,6,23.21,road,storage,1122.08,0
SO-00156,2025-12-18,C-PAR-012,Rotterdam DC,Rotterdam,NL,Paris,FR,9,17.72,road,audio,898.15,0
SO-00337,2025-12-18,C-STO-033,Rotterdam DC,Rotterdam,NL,Stockholm,SE,6,16.33,road,cases,938.98,0
SO-01304,2025-12-18,C-KAR-036,Dubai DC,Dubai,AE,Karachi,PK,10,22.86,sea,chargers,769.62,0
SO-00150,2025-12-19,C-PAR-031,Rotterdam DC,Rotterdam,NL,Paris,FR,6,20.66,road,cables,645.81,0
SO-00787,2025-12-19,C-NEW-035,Memphis DC,Memphis,US,New York City,US,4,9.16,road,cables,829.78,0
SO-01181,2025-12-19,C-CAI-034,Dubai DC,Dubai,AE,Cairo,EG,14,32.37,sea,storage,834.8,0
SO-00288,2025-12-20,C-WAR-033,Rotterdam DC,Rotterdam,NL,Warsaw,PL,7,18.86,road,storage,594.81,0
SO-00884,2025-12-20,C-LOS-018,Memphis DC,Memphis,US,Los Angeles,US,2,8.82,road,cases,584.11,0
SO-00003,2025-12-21,C-LON-038,Rotterdam DC,Rotterdam,NL,London,GB,5,18.66,road,storage,645.04,0
SO-00452,2025-12-21,C-SEO-018,Shenzhen DC,Shenzhen,CN,Seoul,KR,11,18.33,sea,cables,364.2,0
SO-01105,2025-12-21,C-BUE-004,Memphis DC,Memphis,US,Buenos Aires,AR,14,22.43,sea,storage,576.95,0
SO-01294,2025-12-21,C-KAR-020,Dubai DC,Dubai,AE,Karachi,PK,7,16.69,sea,cases,639.57,0
SO-00157,2025-12-22,C-PAR-017,Rotterdam DC,Rotterdam,NL,Paris,FR,5,15.39,road,cables,880.46,0
SO-00321,2025-12-22,C-STO-018,Rotterdam DC,Rotterdam,NL,Stockholm,SE,3,7.53,road,cables,777.63,0
SO-00350,2025-12-22,C-DUB-007,Rotterdam DC,Rotterdam,NL,Dublin,IE,5,9.77,air,wearables,419.85,0
SO-00354,2025-12-22,C-DUB-034,Rotterdam DC,Rotterdam,NL,Dublin,IE,3,9.56,air,storage,577.37,0
SO-00577,2025-12-22,C-JAK-021,Shenzhen DC,Shenzhen,CN,Jakarta,ID,3,11.39,sea,cables,787.63,0
SO-00018,2025-12-23,C-LON-012,Rotterdam DC,Rotterdam,NL,London,GB,9,17.36,road,wearables,795.99,0
SO-00025,2025-12-23,C-LON-025,Rotterdam DC,Rotterdam,NL,London,GB,2,7.43,road,cables,609.81,0
SO-00374,2025-12-23,C-TOK-030,Shenzhen DC,Shenzhen,CN,Tokyo,JP,12,21.82,sea,storage,843.83,0
SO-00391,2025-12-23,C-TOK-014,Shenzhen DC,Shenzhen,CN,Tokyo,JP,4,9.03,sea,chargers,919.02,0
SO-00727,2025-12-23,C-NEW-037,Memphis DC,Memphis,US,New York City,US,5,14.73,road,cables,855.94,0
SO-00822,2025-12-23,C-CHI-005,Memphis DC,Memphis,US,Chicago,US,12,24.55,road,cases,855.42,0
SO-01167,2025-12-23,C-RIY-007,Dubai DC,Dubai,AE,Riyadh,SA,5,19.57,road,cables,827.52,0
SO-00136,2025-12-24,C-PAR-036,Rotterdam DC,Rotterdam,NL,Paris,FR,11,24.47,road,wearables,968.02,0
SO-00244,2025-12-24,C-MAD-015,Rotterdam DC,Rotterdam,NL,Madrid,ES,4,16.72,road,wearables,313.46,0
SO-00858,2025-12-24,C-CHI-002,Memphis DC,Memphis,US,Chicago,US,7,25.53,road,cables,784.37,0
SO-00204,2025-12-25,C-MAD-015,Rotterdam DC,Rotterdam,NL,Madrid,ES,13,31.97,road,storage,708.61,0
SO-00478,2025-12-25,C-SIN-003,Shenzhen DC,Shenzhen,CN,Singapore,SG,6,18.14,sea,chargers,720.38,0
SO-00648,2025-12-25,C-MUM-002,Shenzhen DC,Shenzhen,CN,Mumbai,IN,13,24.85,sea,chargers,471.43,0
SO-00722,2025-12-25,C-NEW-036,Memphis DC,Memphis,US,New York City,US,7,21.4,road,chargers,831.61,0
SO-00899,2025-12-25,C-LOS-027,Memphis DC,Memphis,US,Los Angeles,US,8,21.45,road,chargers,542.42,0
SO-00148,2025-12-26,C-PAR-029,Rotterdam DC,Rotterdam,NL,Paris,FR,12,28.65,road,audio,718.15,0
SO-00381,2025-12-26,C-TOK-027,Shenzhen DC,Shenzhen,CN,Tokyo,JP,11,25.68,sea,chargers,587.31,0
SO-00611,2025-12-26,C-MAN-039,Shenzhen DC,Shenzhen,CN,Manila,PH,11,19.17,sea,chargers,686.52,0
SO-00708,2025-12-26,C-AUC-009,Rotterdam DC,Rotterdam,NL,Auckland,NZ,7,14.45,air,audio,941.39,0
SO-00788,2025-12-26,C-NEW-005,Memphis DC,Memphis,US,New York City,US,3,11.24,road,storage,597.15,0
SO-00806,2025-12-26,C-CHI-030,Memphis DC,Memphis,US,Chicago,US,5,14.85,road,chargers,675.33,0
SO-01242,2025-12-26,C-LAG-027,Dubai DC,Dubai,AE,Lagos,NG,10,39.35,air,audio,366.36,1
SO-00226,2025-12-27,C-MAD-027,Rotterdam DC,Rotterdam,NL,Madrid,ES,13,29.36,road,storage,986.61,0
SO-00239,2025-12-27,C-MAD-022,Rotterdam DC,Rotterdam,NL,Madrid,ES,12,19.71,road,cables,722.74,0
SO-00255,2025-12-27,C-MIL-032,Rotterdam DC,Rotterdam,NL,Milan,IT,8,16.03,road,cables,843.31,0
SO-00382,2025-12-27,C-TOK-036,Shenzhen DC,Shenzhen,CN,Tokyo,JP,7,11.72,sea,cases,829.21,0
SO-00479,2025-12-27,C-SIN-001,Shenzhen DC,Shenzhen,CN,Singapore,SG,10,18.74,sea,cases,590.29,0
SO-00482,2025-12-27,C-SIN-028,Shenzhen DC,Shenzhen,CN,Singapore,SG,7,16.15,sea,chargers,762.28,0
SO-00780,2025-12-27,C-NEW-002,Memphis DC,Memphis,US,New York City,US,6,17.87,road,audio,362.53,0
SO-00795,2025-12-27,C-NEW-005,Memphis DC,Memphis,US,New York City,US,5,14.15,road,wearables,615.91,0
SO-00999,2025-12-27,C-MEX-012,Memphis DC,Memphis,US,Mexico City,MX,12,33.11,road,cases,1012.68,0
SO-01120,2025-12-27,C-BUE-016,Memphis DC,Memphis,US,Buenos Aires,AR,21,34.66,sea,audio,549.11,0
SO-00355,2025-12-28,C-DUB-022,Rotterdam DC,Rotterdam,NL,Dublin,IE,2,4.9,air,storage,378.58,1
SO-00982,2025-12-28,C-TOR-013,Memphis DC,Memphis,US,Toronto,CA,11,29.48,road,chargers,797.33,0
SO-00995,2025-12-28,C-MEX-014,Memphis DC,Memphis,US,Mexico City,MX,11,23.73,road,cables,515.74,0
SO-00044,2025-12-29,C-LON-008,Rotterdam DC,Rotterdam,NL,London,GB,4,14.23,road,storage,421.3,0
SO-00303,2025-12-29,C-WAR-029,Rotterdam DC,Rotterdam,NL,Warsaw,PL,16,44.46,road,wearables,399.1,0
SO-00711,2025-12-29,C-AUC-033,Rotterdam DC,Rotterdam,NL,Auckland,NZ,2,7.45,air,audio,562.9,0
SO-00813,2025-12-29,C-CHI-012,Memphis DC,Memphis,US,Chicago,US,12,25.66,road,chargers,1008.76,0
SO-00940,2025-12-29,C-LOS-035,Memphis DC,Memphis,US,Los Angeles,US,7,27.8,road,audio,891.8,0
SO-00983,2025-12-29,C-TOR-032,Memphis DC,Memphis,US,Toronto,CA,14,26.03,road,wearables,985.28,0
SO-01001,2025-12-29,C-MEX-032,Memphis DC,Memphis,US,Mexico City,MX,8,20.75,road,cases,581.53,1
SO-00405,2025-12-30,C-TOK-036,Shenzhen DC,Shenzhen,CN,Tokyo,JP,10,21.98,sea,cables,789.82,0
SO-01175,2025-12-30,C-CAI-013,Dubai DC,Dubai,AE,Cairo,EG,10,23.73,sea,wearables,831.71,1
SO-00218,2025-12-31,C-MAD-023,Rotterdam DC,Rotterdam,NL,Madrid,ES,6,20.37,road,audio,777.32,0
